2019-08-01 14:50:03.795 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'listenerAsyncConfiguration' of type [com.example.demo.listener.ListenerAsyncConfiguration$$EnhancerBySpringCGLIB$$a82626ff] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2019-08-01 14:50:03.805 [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 
2019-08-01 14:50:05.235 [main] INFO  o.s.orm.jpa.LocalContainerEntityManagerFactoryBean - Building JPA container EntityManagerFactory for persistence unit 'cloudTestPersistence'
2019-08-01 14:50:05.278 [main] INFO  org.hibernate.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [
	name: cloudTestPersistence
	...]
2019-08-01 14:50:05.448 [main] INFO  org.hibernate.Version - HHH000412: Hibernate Core {5.0.12.Final}
2019-08-01 14:50:05.539 [main] INFO  org.hibernate.cfg.Environment - HHH000206: hibernate.properties not found
2019-08-01 14:50:05.542 [main] INFO  org.hibernate.cfg.Environment - HHH000021: Bytecode provider name : javassist
2019-08-01 14:50:05.680 [main] INFO  org.hibernate.annotations.common.Version - HCANN000001: Hibernate Commons Annotations {5.0.1.Final}
2019-08-01 14:50:07.980 [main] INFO  org.hibernate.dialect.Dialect - HHH000400: Using dialect: org.hibernate.dialect.MySQL5Dialect
2019-08-01 14:50:17.155 [main] INFO  o.s.orm.jpa.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'cloudTestPersistence'
2019-08-01 14:50:17.180 [main] INFO  o.s.orm.jpa.LocalContainerEntityManagerFactoryBean - Building JPA container EntityManagerFactory for persistence unit 'testPersistence'
2019-08-01 14:50:17.181 [main] INFO  org.hibernate.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [
	name: testPersistence
	...]
